#separator:tab
#html:false
ID cell type:	Eosinophil
ID cell type:	Basophil (because in blood).  Note that mast cells look exactly like this, but in tissue (though different lineage)
ID cell type:	Lymphocyte  Also note the platelet bottom right
ID cell type:	Plasma cell (note that it is jam packed with nucleic acid messengers to make antibodies --> PURPLE, with nucleus on the side)
ID cell type:	Monocyte (kidney-shapped nucleus) --> matures to macrophage in tissue
ID cell type:	"Fibroblasts (""slit-like"")"
What is the point mutation that results in sickle cell disease?	Glutamic acid --> valine in hemoglobin gene
ID cell types:	Clockwise -  neutrophil, eosinophil, basophil, monocyte, plasma cell, lymphocyte
ID the cell type:	"Dendritic cells   Note the red ""feelers"" of the dendritic cell wrapping up everything around it."
Non-Hodgkin Lymphoma: most aggressive B-cell lymphoma   Virus involved  - [...]   Neoplastic cell - [...]	Non-Hodgkin Lymphoma: most aggressive B-cell lymphoma   Virus involved  - EBV (mostly in AIDS patients)   Neoplastic cell - polyclonal B-cell proliferation
[...]:   Epidemiology - women (though not associated with use of contraceptives), but also occurs in males - contrast to hepatic adenomas   Description - firm, well-circumscribed mass usually with a stellate fibrous core containing numerous small bile ducts and having vessels lined by Kupffer cells (asymptomatic, incidental finding on imaging)	Focal Nodular Hyperplasia:   Epidemiology - women (though not associated with use of contraceptives), but also occurs in males - contrast to hepatic adenomas   Description - firm, well-circumscribed mass usually with a stellate fibrous core containing numerous small bile ducts and having vessels lined by Kupffer cells (asymptomatic, incidental finding on imaging)  Benign tumor of the liver (hepatic tumor), which is the second most prevalent tumor of the liver (the first is hepatic hemangioma). It is usually asymptomatic, rarely grows or bleeds, and has no malignant potential. This tumour was once often resected because it was difficult to distinguish from hepatic adenoma, but with modern multiphase imaging is usually now diagnosed by strict imaging criteria and not resected.
Focal Nodular Hyperplasia:   Epidemiology - women (though not associated with use of contraceptives), but also occurs in males - contrast to hepatic adenomas   Description - [...]	Focal Nodular Hyperplasia:   Epidemiology - women (though not associated with use of contraceptives), but also occurs in males - contrast to hepatic adenomas   Description - firm, well-circumscribed mass usually with a stellate fibrous core containing numerous small bile ducts and having vessels lined by Kupffer cells (asymptomatic, incidental finding on imaging)  Benign tumor of the liver (hepatic tumor), which is the second most prevalent tumor of the liver (the first is hepatic hemangioma). It is usually asymptomatic, rarely grows or bleeds, and has no malignant potential. This tumour was once often resected because it was difficult to distinguish from hepatic adenoma, but with modern multiphase imaging is usually now diagnosed by strict imaging criteria and not resected.
Focal Nodular Hyperplasia:   Epidemiology - [...]   Description - firm, well-circumscribed mass usually with a stellate fibrous core containing numerous small bile ducts and having vessels lined by Kupffer cells (asymptomatic, incidental finding on imaging)	Focal Nodular Hyperplasia:   Epidemiology - women (though not associated with use of contraceptives), but also occurs in males - contrast to hepatic adenomas   Description - firm, well-circumscribed mass usually with a stellate fibrous core containing numerous small bile ducts and having vessels lined by Kupffer cells (asymptomatic, incidental finding on imaging)  Benign tumor of the liver (hepatic tumor), which is the second most prevalent tumor of the liver (the first is hepatic hemangioma). It is usually asymptomatic, rarely grows or bleeds, and has no malignant potential. This tumour was once often resected because it was difficult to distinguish from hepatic adenoma, but with modern multiphase imaging is usually now diagnosed by strict imaging criteria and not resected.
[...] - mutation in a JAK-kinase receptor renders erythroblasts hypersensitive to erythropoietin --> increased proliferation    Erythropoietin levels - [...]creased	Polycythemia vera - mutation in a JAK-kinase receptor renders erythroblasts hypersensitive to erythropoietin --> increased proliferation    Erythropoietin levels - decreased
Which is the only microcytic anemia with an increased RDW (red cell distribution width: variation in anisocytosis) due to a mixture of normocytic and microcytic RBCs?    * All other exhibit a uniform decrease in size --> normal RDW *	Iron deficiency anemia
ID the 2 poikilocytes + 2 differertials:	A - acanthocytes (aka spur cells) B - echinocytes   Differentials - dehydration and uremia (e.g. renal failure)
Do patients with G6PD typicaly present with gallstones?	NO, the hemolysis is episodic
