#separator:tab
#html:false
Abciximab	CD41 (integrin alpha IIb), Glycoprotein IIb/IIIa inhibitor Platelet aggregation inhibitor
Adalimumab	TNF-alpha Rheumatoid arthritis, Crohn's Disease, Plaque Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis, Juvenile Idiopathic Arthritis, Hemolytic disease of the newborn
Alemtuzumab	CD52 Alemtuzumab is a drug used in the treatment of chronic lymphocytic leukemia (CLL), cutaneous T-cell lymphoma (CTCL) and T-cell lymphoma under the trade names Campath, MabCampath and Campath-1H, and in the treatment of multiple sclerosis as Lemtrada. It is also used in some conditioning regimens for bone marrow transplantation, kidney transplantation and islet cell transplantation.    It is a monoclonal antibody that binds to CD52, a protein present on the surface of mature lymphocytes, but not on the stem cells from which these lymphocytes are derived. After treatment with alemtuzumab, these CD52-bearing lymphocytes are targeted for destruction.   P53 Mutations Alemtuzumab has been shown to be effective in treating CLL with p53 mutations [del(17p13.1)]. This is in contrast to rituximab, which is not effective in p53 mutation–bearing CLL. Although very effective in clearing the bone marrow of disease, alemtuzumab has shown only limited activity in clearing bulky lymphadenopathy.   Opportunistic Infections Antiviral prophylaxis and prophylactic antibiotics for Pneumocystis jiroveci are recommended for use in patients receiving alemtuzumab during and for 2-4 months after treatment, or until their CD4 count is >250x109 cells. Cytomegalovirus (CMV) polymerase chain reaction (PCR) is also recommended to monitor for CMV reactivation. If CMV is detected, alemtuzumab should be discontinued, and appropriate treatment initiated until CMV becomes undetectable.
Basiliximab	CD25 (alpha chain of IL-2 Receptor) prevention of organ transplant rejection
Belimumab	BAFF Inhibitor - used in SLE Binds to B-cell activating factor (BAFF) which is normally present as a survival factor for B-cells. BAFF upregulates TLR expression, promotes IgG class switching and induces memory B cell differentiation into plasma cells. Inability of BAFF to bind with B-cells cause B-cells to commit suicide. Note serum BAFF levels are increased in autoimmune diseases.
Bevacixumab	VEGF-A Metastatic Cancer, retinopathy of prematurity
Catumaxomab	"EpCAM (tumor) & CD3 (T-cells) Ovarian cancer, malignant ascites, gastric cancer Catumaxomab consists of one ""half"" (one heavy chain and one light chain) of an anti-EpCAM antibody and one half of an anti-CD3 antibody, so that each molecule of catumaxomab can bind both EpCAM and CD3.  Many types of cancer cells carry EpCAM (epithelial cell adhesion molecule) on their surface. By binding to such a cell via one arm, to a T lymphocyte via the other arm and to an antigen-presenting cell like a macrophage, a natural killer cell or a dendritic cell via the heavy chains, an immunological reaction against the cancer cell is triggered (trifunctional antibody). Removing cancer cells from the abdominal cavity reduces the tumour burden which is seen as the cause for ascites in cancer patients.  The usual treatment of malignant ascites is to puncture the peritoneum to let the accumulated fluid drain out. After the puncture, catumaxomab is given as an intraperitoneal infusion. The procedure is repeated four times within about eleven days. It has been shown that puncture free survival can be increased from 11 to 46 days with this treatment"
Certolizumab	TNF-alpha  Certolizumab is indicated for adults with moderate to severely active rheumatoid arthritis. It should be combined with methotrexate in patients who have had an inadequate response to or are intolerant to other treatments with one or more disease-modifying antirheumatic drugs. Certolizumab should only be given on its own if methotrexate is contraindicated or not tolerated. However, the presence of antibodies to certolizumab increases its clearance and appears to correlate with reduced patient responses. Giving methotrexate concomitantly with certolizumab reduces the formation of anti-certolizumab antibodies.
Crizotinib	ALK (Anaplastic Lymphoma Kinase) NSCLC adenocarcinomas Functions as a protein kinase inhibitor by competitive binding within the ATP-binding pocket of target kinases.
Ceritinib	ALK NSCLC adenocarcinomas Non–small-cell lung cancer (NSCLC) harboring the anaplastic lymphoma kinase gene (ALK) rearrangement is sensitive to the ALK inhibitor crizotinib, but resistance invariably develops. Ceritinib (LDK378) is a new ALK inhibitor that has shown greater antitumor potency than crizotinib in preclinical studies.
Cetuximab (Erbitux)	EGFR metastatic colorectal cancer and head and neck SCC
Daclizumab	CD25 (alpha-chain of IL-2 receptor) prevention of organ transplant rejection
Denosumab	RANKL inhibitor osteoporosis, bone metastases
Eculizumab	C5a Paroxysmal nocturnal hemoglobinuria and Atypical HUS. Humanised IgG 2/4 monoclonal which targets the terminal portion of the complement cascade, namely C5a. (Note that PNH occurs due to the absence of membrane bound proteins CD55 - destabilising the C5b-Bb interaction and CD59 - blocks C9 binding to C5-8)
Edrecolomab	EpCAM Colorectal Carcinoma
Girentuximab	Carbonic anhydrase 9 Clear cell renal cell carcinoma The carbonic anhydrases form a family of enzymes that catalyze the reversible reaction CO2 + H2O -> HCO3− + H+, making these enzymes key players in the regulation of intra- and extra-cellular pH, and fluid balance. CA-IX is ubiquitously expressed in ccRCC and not in normal renal tissue.    Because of the specific expression of CA-IX on primary, as well as metastatic, ccRCC tumors, the antigen is considered to be an excellent target for imaging of both localized and advanced disease.
